product_rating,total_reviews,purchased_last_month,discounted_price,original_price,is_sponsored,discount_percentage,product_category_Cameras,product_category_Chargers & Cables,product_category_Gaming,product_category_Headphones,product_category_Laptops,product_category_Networking,product_category_Other Electronics,product_category_Phones,product_category_Power & Batteries,product_category_Printers & Scanners,product_category_Smart Home,product_category_Speakers,product_category_Storage,product_category_TV & Display,product_category_Wearables,is_best_seller_Amazon's,is_best_seller_Best Seller,is_best_seller_Ends in,is_best_seller_Limited time deal,is_best_seller_No Badge,is_best_seller_Save 12%,is_best_seller_Save 17%,is_best_seller_Save 18%,is_best_seller_Save 30%,product_category_label,sales_volume,sales_revenue,discount_flag
4.3,26559,10000,29.95,29.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Headphones,10000,299500,No Discount
4.6,4676,10000,148,148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,10000,1480000,No Discount
4.8,70083,40000,23.1,38.98,0,40.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Power & Batteries,40000,924000,Discounted
4.8,53340,70000,11.1,14.39,0,22.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other Electronics,70000,777000,Discounted
4.8,67965,60000,20.39,21.89,0,6.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Power & Batteries,60000,1223400,Discounted
4.1,450,20000,119.99,169.99,0,29.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,20000,2399800,Discounted
4.9,72360,70000,11.99,19.99,0,40.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Other Electronics,70000,839300,Discounted
4.2,33507,10000,19.99,29.99,0,33.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Networking,10000,199899.99999999997,Discounted
4.4,15848,10000,159,219.99,0,27.72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,10000,1590000,Discounted
4.7,11785,10000,280.12,280.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,TV & Display,10000,2801200,No Discount
4.8,10981,50000,17.97,17.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Other Electronics,50000,898500,No Discount
4.7,17495,60000,10.82,15,0,27.87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Other Electronics,60000,649200,Discounted
4.8,72492,10000,21.99,24.99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Storage,10000,219899.99999999997,Discounted
4.8,16952,50000,25.66,25.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Storage,50000,1283000,No Discount
4.6,16222,10000,127.49,127.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,10000,1274900,No Discount
4.8,2377,10000,476.5,476.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Laptops,10000,4765000,No Discount
4.6,262557,10000,79.99,79.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Storage,10000,799900,No Discount
4.6,6133,10000,97.49,97.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,10000,974900,No Discount
4.6,18532,30000,47.89,47.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,30000,1436700,No Discount
3.9,6335,500,29.99,32.72,1,8.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,500,14995,Discounted
4.6,24117,20000,52.89,71.87,0,26.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,20000,1057800,Discounted
4.8,1553,6000,514.28,514.28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,6000,3085680,No Discount
4.7,231583,60000,12.69,12.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other Electronics,60000,761400,No Discount
4.1,4856,10000,138,169.99,0,18.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phones,10000,1380000,Discounted
4.6,6931,20000,106.89,106.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,20000,2137800,No Discount
4.8,54759,40000,17.99,17.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Other Electronics,40000,719599.9999999999,No Discount
4.4,24693,10000,39.59,39.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Laptops,10000,395900.00000000006,No Discount
4.8,1212,2000,1647.21,1647.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,2000,3294420,No Discount
4.5,744,10000,44.99,44.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,TV & Display,10000,449900,No Discount
4.5,3316,9000,485.05,485.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other Electronics,9000,4365450,No Discount
4.6,6350,10000,154.89,154.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,10000,1548899.9999999998,No Discount
4.6,19724,10000,11.89,18.99,0,37.39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Phones,10000,118900,Discounted
4.7,7235,500,69.95,69.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Cameras,500,34975,No Discount
